R150_209;size=20
R1749_62;size=12
R661_12;size=11
R1246_106;size=10
R823_189;size=8
R1047_167;size=2
R1553_77;size=2
R1231_5;size=1
R428_121;size=17
R1577_45;size=3
R1477_25;size=70
R1339_95;size=20
R3807_3;size=3
R3799_3;size=1
R2103_2;size=21
R1027_167;size=16
R1103_4;size=14
R869_47;size=14
R850_48;size=9
R1342_126;size=10
R1628_79;size=5
R2378_2;size=11
R2098_5;size=4
R2741_6;size=10
R1003_129;size=5
R1097_5;size=478
R1142_13;size=184
R428_74;size=22
R1148_50;size=4
R258_27;size=109
R1738_20;size=67
R1188_134;size=6
R1142_75;size=1
R1143_75;size=1
R313_53;size=18
R762_41;size=13
R556_106;size=18
R1972_13;size=51
R1447_11;size=18
R2391_6;size=22
R962_57;size=17
R1486_76;size=9
R1551_35;size=35
R1401_17;size=3
R1423_17;size=2
R1773_16;size=1
R600_13;size=52
R1392_7;size=50
R2236_2;size=29
R1063_79;size=9
R2798_6;size=7
R1586_14;size=4
R1470_23;size=114
R2421_6;size=1
R427_87;size=8
R991_162;size=1
R865_59;size=156
R578_196;size=15
R708_62;size=4
R878_57;size=1
R1110_74;size=119
R387_103;size=74
R401_133;size=31
R1214_86;size=17
R2125_22;size=16
R2309_17;size=11
R1316_78;size=45
R982_85;size=9
R1964_3;size=7
R2385_9;size=43
R2084_18;size=36
R882_142;size=13
R1115_144;size=10
R1169_117;size=9
R1483_86;size=8
R1373_122;size=5
R895_142;size=4
R1039_134;size=2
R1085_128;size=2
R1095_128;size=1
R1642_70;size=1
R919_119;size=2
R1_5;size=20725
R265_177;size=2672
R1_23;size=2507
R1232_36;size=2406
R714_61;size=1183
R777_29;size=1105
R1_170;size=976
R1_109;size=769
R1120_57;size=755
R1336_13;size=731
R2120_6;size=632
R14_207;size=587
R769_44;size=495
R1011_20;size=393
R207_51;size=326
R1_76;size=299
R1567_2;size=252
R1413_2;size=246
R1602_25;size=223
R1349_126;size=207
R2630_2;size=178
R778_24;size=164
R1_238;size=156
R2198_13;size=101
R1_66;size=88
R1749_22;size=74
R1814_2;size=56
R1558_25;size=44
R2672_5;size=34
R1199_38;size=33
R1887_18;size=27
R2768_5;size=20
R1888_2;size=9
R1588_34;size=8
R2842_5;size=7
R1485_100;size=6
R2849_5;size=4
R2839_5;size=3
R2346_23;size=2
R1688_71;size=1
R2008_16;size=1
R2094_18;size=1
R2345_23;size=1
R2854_5;size=1
R3187_3;size=1
R639_47;size=508
R1_22;size=320
R1018_21;size=319
R1_218;size=307
R1527_25;size=288
R599_93;size=270
R1815_18;size=212
R1_20;size=187
R1603_9;size=181
R1167_3;size=143
R1449_8;size=143
R960_40;size=86
R1531_57;size=79
R1647_12;size=16
R1209_19;size=9
R513_85;size=3
R309_89;size=1
R3198_3;size=1
R618_81;size=1
R633_81;size=1
R1105_74;size=5
R560_49;size=29
R1815_5;size=216
R1462_3;size=110
R1635_3;size=5
R1239_108;size=1
R1240_108;size=1
R1241_108;size=1
R489;size=455
R226_27;size=250
R130_52;size=77
R1990_13;size=39
R1395_12;size=10
R1129_124;size=8
R461_106;size=8
R1190_117;size=7
R1468_50;size=6
R606_82;size=3
R627_81;size=3
R908_88;size=3
R1735_11;size=350
R49_52;size=81
R281_232;size=40
R1107_75;size=31
R5_187;size=26
R657_159;size=10
R472_181;size=8
R14_110;size=6
R1761_61;size=5
R2039_43;size=1
R1011_133;size=2
R500_169;size=48
R800_175;size=24
R505_48;size=305
R964_185;size=58
R1415_10;size=7
R1180_10;size=1870
R768_91;size=276
R1319_98;size=50
R1793_58;size=1
R3199_3;size=1
R1205_73;size=1
R880_22;size=1
R1304_14;size=1
R1529_71;size=3
R3122_3;size=2
R621_102;size=66
R1100_74;size=27
R619_81;size=3
R634_81;size=1
R1643_12;size=3
R1023_160;size=1
R1094_128;size=1
R999_162;size=3
R1562_77;size=1
R3023_4;size=150
R613;size=126
R532_47;size=96
R455_52;size=61
R3200_3;size=2
R3189_3;size=3
R3196_3;size=2
R1193_14;size=3
R922_177;size=1
R1347_122;size=2
R1349_122;size=2
R1277_64;size=1
R1167_88;size=1
R1558_84;size=1
R1546_83;size=2
R1222_53;size=5
R1695_72;size=4
R647_202;size=3
R1112_77;size=3
R1010_46;size=4
R1834_30;size=1
R1372_55;size=2
R1365_121;size=1
R619_219;size=11
R1045_43;size=2
R1_24;size=60
R870_145;size=12
R1738_46;size=4
R1721_48;size=3
R1719_48;size=2
R1742_46;size=1
R1650_70;size=7
R1453_10;size=339
R589_48;size=50
R475_68;size=48
R1866_22;size=36
R2767_7;size=212
R876_154;size=97
R1261_82;size=35
R1296_78;size=31
R468_227;size=2
R1372_120;size=1
R2025_48;size=1
R704_121;size=125
R235_139;size=71
R480_227;size=55
R1431_63;size=14
R1483_61;size=2
R610_129;size=63
R1295_77;size=1
R577_166;size=9
R90_58;size=94
R455_13;size=37
R1545_43;size=121
R712_89;size=43
R1455_80;size=9
R1363_75;size=48
R2211_9;size=30
