"otu","class","order","family","genus","species"
"R3396.4__Insecta_Hymenoptera_Ichneumonidae_Cubocephalus_NA_BOLD_AAG8083_size.178","Insecta","Hymenoptera","Ichneumonidae","Cubocephalus","NA"
"R10550__Insecta_Hymenoptera_Crabronidae_Crossocerus_annulipes_BOLD_AAM3798_size.27","Insecta","Hymenoptera","Crabronidae","Crossocerus","NA"
"R10257.4__Insecta_Lepidoptera_Gelechiidae_Chionodes_tessa_BOLD_AAH4686_size.156","Insecta","Lepidoptera","Gelechiidae","Chionodes","NA"
"R1603.143__Insecta_Hymenoptera_NA_NA_NA_BOLD_AAZ9943_size.4","Insecta","Hymenoptera","NA","NA","NA"
"R8474.21__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_AAG5795_size.52","Insecta","Hymenoptera","Ichneumonidae","NA","NA"
"R1457.92__Insecta_Hymenoptera_Formicidae_Temnothorax_NA_BOLD_AAK0642_size.29","Insecta","Hymenoptera","Formicidae","Temnothorax","NA"
"R4873.17__Insecta_Hymenoptera_Chrysididae_NA_NA_BOLD_AAG0253_size.26","Insecta","Hymenoptera","Chrysididae","NA","NA"
"R8114.21__Insecta_Hymenoptera_Pompilidae_Evagetes_NA_BOLD_AAG4378_size.175","Insecta","Hymenoptera","Pompilidae","Evagetes","NA"
"R1567.3__Insecta_Lepidoptera_Noctuidae_Homorthodes_communis_BOLD_AAC1982_size.979","Insecta","Lepidoptera","Noctuidae","Homorthodes","NA"
"R5426.36__Insecta_Hemiptera_Pentatomidae_Banasa_dimidiata_BOLD_AAI7716_size.61","Insecta","Hemiptera","Pentatomidae","Banasa","NA"
"R6828.11__Insecta_Hemiptera_Cicadellidae_Osbornellus_NA_BOLD_ABX7029_size.6","Insecta","Hemiptera","Cicadellidae","Osbornellus","NA"
"R7506.11__Insecta_Diptera_Tachinidae_Catharosia_NA_BOLD_ACA7921_size.45","Insecta","Diptera","Tachinidae","Catharosia","NA"
"R3129.67__Insecta_Diptera_Chloropidae_Dasyopa_NA_BOLD_ADI1308_size.55","Insecta","Diptera","Chloropidae","Dasyopa","NA"
"R3255.45__Insecta_Diptera_Chironomidae_Rheocricotopus_robacki_BOLD_AAM6249_size.13","Insecta","Diptera","Chironomidae","Rheocricotopus","NA"
