"otu","class","order","family","genus","species"
"R1240.70__Insecta_Diptera_Syrphidae_Blera_scitula_BOLD_ABY7981_size.998","Insecta","Diptera","Syrphidae","Blera","NA"
"R4069.6__Insecta_Diptera_Rhagionidae_NA_NA_BOLD_ACX1094_size.14821","Insecta","Diptera","Rhagionidae","NA","NA"
"R7337__Insecta_Diptera_Syrphidae_Milesia_pulchra_BOLD_AAY9056_size.62348","Insecta","Diptera","Syrphidae","Milesia","NA"
"R2420__Insecta_Hymenoptera_Vespidae_Dolichovespula_maculata_BOLD_AAB6388_size.239475","Insecta","Hymenoptera","Vespidae","Dolichovespula","NA"
"R1940.70__Insecta_Diptera_Rhagionidae_Symphoromyia_NA_BOLD_AAP9925_size.210","Insecta","Diptera","Rhagionidae","Symphoromyia","NA"
"R2516.69__Insecta_Diptera_Rhagionidae_Symphoromyia_NA_BOLD_ACY3832_size.556","Insecta","Diptera","Rhagionidae","Symphoromyia","NA"
"R2033.69__Insecta_Diptera_Rhagionidae_Symphoromyia_NA_BOLD_AAH2949_size.191","Insecta","Diptera","Rhagionidae","Symphoromyia","NA"
"R3842.2__Insecta_Hymenoptera_Vespidae_Eumenes_consobrinus_BOLD_AAG9053_size.3920","Insecta","Hymenoptera","Vespidae","Eumenes","NA"
"R2002.2__Arachnida_Araneae_Gnaphosidae_Orodrassus_canadensis_BOLD_ACD2419_size.31","Arachnida","Araneae","Gnaphosidae","Orodrassus","NA"
"R4278.5__Insecta_Raphidioptera_Raphidiidae_Agulla_NA_BOLD_ACA6997_size.2491","Insecta","Raphidioptera","Raphidiidae","Agulla","NA"
"R3631.18__Insecta_Diptera_Asilidae_Coleomyia_NA_BOLD_ABV9527_size.401","Insecta","Diptera","Asilidae","Coleomyia","NA"
"R5123.57__Insecta_Diptera_Rhagionidae_NA_NA_BOLD_ACU3161_size.353","Insecta","Diptera","Rhagionidae","NA","NA"
"R6630.2__Insecta_Psocodea_Dasydemellidae_Teliapsocus_conterminus_BOLD_AAP4627_size.5126","Insecta","Psocodea","Dasydemellidae","Teliapsocus","NA"
"R9119__Insecta_Diptera_Muscidae_Phaonia_nigricauda_BOLD_AAP6480_size.1261","Insecta","Diptera","Muscidae","Phaonia","NA"
"R4091.6__Insecta_Diptera_Asilidae_Nevadasilus_NA_BOLD_AAH2298_size.3235","Insecta","Diptera","Asilidae","Nevadasilus","NA"
"R3138.89__Insecta_Diptera_Piophilidae_Mycetaulus_NA_BOLD_AAP6246_size.66","Insecta","Diptera","Piophilidae","Mycetaulus","NA"
"R3514.29__Insecta_Diptera_Simuliidae_Prosimulium_NA_BOLD_AAA1296_size.34","Insecta","Diptera","Simuliidae","Prosimulium","NA"
"R2775.3__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACI9191_size.2219","Insecta","Hymenoptera","Ichneumonidae","NA","NA"
"R4099.21__Arachnida_Araneae_Philodromidae_Philodromus_oneida_BOLD_AAN9004_size.80","Arachnida","Araneae","Philodromidae","Philodromus","NA"
"R4943.5__Insecta_Coleoptera_Scraptiidae_Anaspis_rufa_BOLD_AAP7041_size.1929","Insecta","Coleoptera","Scraptiidae","Anaspis","NA"
"R4774.5__Insecta_Coleoptera_Elateridae_Hemicrepidius_NA_BOLD_ACJ3091_size.314","Insecta","Coleoptera","Elateridae","Hemicrepidius","NA"
"R2501.67__Insecta_Hymenoptera_Braconidae_Coeloides_NA_BOLD_ACX1944_size.14","Insecta","Hymenoptera","Braconidae","Coeloides","NA"
"R5669.21__Insecta_Hemiptera_NA_NA_NA_BOLD_AAZ3083_size.108","Insecta","Hemiptera","NA","NA","NA"
"R5713.14__Insecta_Diptera_Syrphidae_Parasyrphus_relictus_BOLD_AAL3233_size.1357","Insecta","Diptera","Syrphidae","Parasyrphus","NA"
"R1996.72__Arachnida_Araneae_Clubionidae_Clubiona_NA_BOLD_AAB2563_size.382","Arachnida","Araneae","Clubionidae","Clubiona","NA"
"R2600.137__Insecta_Hemiptera_NA_NA_NA_BOLD_ABX4533_size.8","Insecta","Hemiptera","NA","NA","NA"
"R9361.2__Insecta_Hemiptera_Miridae_NA_NA_BOLD_ACC4475_size.186","Insecta","Hemiptera","Miridae","NA","NA"
"R4490.7__Insecta_Coleoptera_Elateridae_Pseudanostirus_propolus_BOLD_ACG1380_size.65","Insecta","Coleoptera","Elateridae","Pseudanostirus","NA"
"R4594.38__Insecta_Diptera_Piophilidae_Mycetaulus_NA_BOLD_AAP7658_size.77","Insecta","Diptera","Piophilidae","Mycetaulus","NA"
"R5508.8__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_AAM6113_size.700","Insecta","Diptera","Cecidomyiidae","NA","NA"
"R1778.25__Insecta_Coleoptera_Cerambycidae_Pidonia_scripta_BOLD_AAD6095_size.71","Insecta","Coleoptera","Cerambycidae","Pidonia","NA"
"R1583.112__Insecta_Diptera_Sphaeroceridae_NA_NA_BOLD_ACP8985_size.2","Insecta","Diptera","Sphaeroceridae","NA","NA"
"R9147.3__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACC6221_size.13","Insecta","Diptera","Cecidomyiidae","NA","NA"
"R6623.2__Insecta_Neuroptera_Hemerobiidae_Hemerobius_discretus_BOLD_ABZ0149_size.2910","Insecta","Neuroptera","Hemerobiidae","Hemerobius","NA"
"R7935.15__Insecta_Hymenoptera_Formicidae_Formica_pacifica_BOLD_AAI5674_size.84","Insecta","Hymenoptera","Formicidae","Formica","NA"
"R727.70__Insecta_Diptera_Heleomyzidae_Suillia_NA_BOLD_ACD3130_size.493","Insecta","Diptera","Heleomyzidae","Suillia","NA"
"R3062.20__Insecta_Diptera_Mycetophilidae_Cordyla_NA_BOLD_ABW9771_size.1183","Insecta","Diptera","Mycetophilidae","Cordyla","NA"
"R992.70__Insecta_Hemiptera_Aphididae_NA_NA_BOLD_ACU7326_size.166","Insecta","Hemiptera","Aphididae","NA","NA"
"R6085.4__Insecta_Diptera_Mycetophilidae_NA_NA_BOLD_ACS9352_size.1529","Insecta","Diptera","Mycetophilidae","NA","NA"
"R538.70__Insecta_Hemiptera_Cicadellidae_NA_NA_BOLD_ACU7499_size.137","Insecta","Hemiptera","Cicadellidae","NA","NA"
"R964.70__Insecta_Psocodea_Caeciliusidae_Valenzuela_NA_BOLD_AAP4636_size.56","Insecta","Psocodea","Caeciliusidae","Valenzuela","NA"
"R6022.20__Insecta_Diptera_Keroplatidae_NA_NA_BOLD_ACI9068_size.585","Insecta","Diptera","Keroplatidae","NA","NA"
"R4083.33__Insecta_Hemiptera_Cicadellidae_Empoasca_NA_BOLD_AAN5445_size.168","Insecta","Hemiptera","Cicadellidae","Empoasca","NA"
"R8520.8__Insecta_Psocodea_Lachesillidae_Lachesilla_NA_BOLD_ACB8951_size.66","Insecta","Psocodea","Lachesillidae","Lachesilla","NA"
"R1226.70__Insecta_Hymenoptera_Pteromalidae_NA_NA_BOLD_ACJ0781_size.92","Insecta","Hymenoptera","Pteromalidae","NA","NA"
"R9908.2__Insecta_Hymenoptera_Diapriidae_NA_NA_BOLD_ACI9478_size.84","Insecta","Hymenoptera","Diapriidae","NA","NA"
"R5452.8__Insecta_Diptera_Mycetophilidae_Novakia_NA_BOLD_AAP9075_size.10","Insecta","Diptera","Mycetophilidae","Novakia","NA"
"R608__Insecta_Hymenoptera_Vespidae_Dolichovespula_arenaria_BOLD_AAC0675_size.92920","Insecta","Hymenoptera","Vespidae","Dolichovespula","NA"
"R1__Insecta_Diptera_Tabanidae_Hybomitra_rhombica_BOLD_AAG4571_size.14764","Insecta","Diptera","Tabanidae","Hybomitra","NA"
"R1631.2__Insecta_Coleoptera_Cerambycidae_Leptura_obliterata_BOLD_AAG5563_size.32225","Insecta","Coleoptera","Cerambycidae","Leptura","NA"
"R1904.2__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACE8616_size.791","Insecta","Hymenoptera","Ichneumonidae","NA","NA"
"R3500.3__Insecta_Hymenoptera_Apidae_Bombus_sitkensis_BOLD_ACU8557_size.1191","Insecta","Hymenoptera","Apidae","Bombus","NA"
"R1798.25__Insecta_Coleoptera_Cerambycidae_Xestoleptura_NA_BOLD_AAB9227_size.292","Insecta","Coleoptera","Cerambycidae","Xestoleptura","NA"
"R3540.4__Insecta_Lepidoptera_Geometridae_Ceratodalia_gueneata_BOLD_AAA5705_size.21947","Insecta","Lepidoptera","Geometridae","Ceratodalia","NA"
"R1733.25__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACF5187_size.90","Insecta","Hymenoptera","Ichneumonidae","NA","NA"
"R8220.14__Insecta_Diptera_Dryomyzidae_Paradryomyza_NA_BOLD_AAI6087_size.139","Insecta","Diptera","Dryomyzidae","Paradryomyza","NA"
"R5007.18__Insecta_Diptera_Limoniidae_NA_NA_BOLD_AAV1806_size.331","Insecta","Diptera","Limoniidae","NA","NA"
"R3869.44__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ABY7035_size.576","Insecta","Hymenoptera","Ichneumonidae","NA","NA"
"R4409__Insecta_Diptera_Keroplatidae_NA_NA_BOLD_ACJ0826_size.2301","Insecta","Diptera","Keroplatidae","NA","NA"
"R10098__Insecta_Diptera_Mycetophilidae_Mycomya_NA_BOLD_ACJ6978_size.215","Insecta","Diptera","Mycetophilidae","Mycomya","NA"
"R4175.16__Insecta_Neuroptera_Hemerobiidae_Hemerobius_pacificus_BOLD_AAM7043_size.72","Insecta","Neuroptera","Hemerobiidae","Hemerobius","NA"
"R5526.10__Insecta_Coleoptera_NA_NA_NA_BOLD_ACI9871_size.503","Insecta","Coleoptera","NA","NA","NA"
"R1510.25__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACG6791_size.39","Insecta","Hymenoptera","Ichneumonidae","NA","NA"
"R2833.3__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACG4506_size.666","Insecta","Hymenoptera","Ichneumonidae","NA","NA"
"R7357.2__Insecta_Hymenoptera_Formicidae_Camponotus_modoc_BOLD_AAC9538_size.846","Insecta","Hymenoptera","Formicidae","Camponotus","NA"
"R1891.25__Insecta_Hymenoptera_Apidae_Bombus_sitkensis_BOLD_AAI4757_size.45","Insecta","Hymenoptera","Apidae","Bombus","NA"
"R4325.5__Insecta_Lepidoptera_Gelechiidae_Chionodes_periculella_BOLD_ACF5659_size.133","Insecta","Lepidoptera","Gelechiidae","Chionodes","NA"
"R5403__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACT6419_size.291","Insecta","Hymenoptera","Ichneumonidae","NA","NA"
"R5061__Insecta_Diptera_Sciaridae_Bradysia_browni_BOLD_ACD0175_size.1916","Insecta","Diptera","Sciaridae","Bradysia","NA"
"R4490.39__Insecta_Psocodea_NA_NA_NA_BOLD_ACD8202_size.350","Insecta","Psocodea","NA","NA","NA"
"R10875__Insecta_Diptera_Sciaridae_NA_NA_BOLD_ABV3271_size.182","Insecta","Diptera","Sciaridae","NA","NA"
"R4008.2__Insecta_Psocodea_Amphipsocidae_Polypsocus_corruptus_BOLD_AAM8933_size.41","Insecta","Psocodea","Amphipsocidae","Polypsocus","NA"
"R2431.10__Insecta_Coleoptera_Scraptiidae_Anaspis_olympiae_BOLD_ACC3109_size.60","Insecta","Coleoptera","Scraptiidae","Anaspis","NA"
"R6127.9__Arachnida_Araneae_Linyphiidae_Neriene_litigiosa_BOLD_AAX6329_size.723","Arachnida","Araneae","Linyphiidae","Neriene","NA"
"R2925.21__Insecta_Diptera_NA_NA_NA_BOLD_AAZ4857_size.126","Insecta","Diptera","NA","NA","NA"
"R5612.3__Insecta_Psocodea_Caeciliusidae_Valenzuela_NA_BOLD_AAP4630_size.1398","Insecta","Psocodea","Caeciliusidae","Valenzuela","NA"
"R10103.4__Insecta_Diptera_Mycetophilidae_Syntemna_NA_BOLD_ACG6555_size.20","Insecta","Diptera","Mycetophilidae","Syntemna","NA"
"R5443.9__Insecta_Lepidoptera_Gelechiidae_Coleotechnites_piceaella_BOLD_AAA5953_size.126","Insecta","Lepidoptera","Gelechiidae","Coleotechnites","NA"
"R3258.88__Insecta_Hemiptera_Aphididae_Essigella_wilsoni_BOLD_ACC4249_size.13","Insecta","Hemiptera","Aphididae","Essigella","NA"
"R5147__Insecta_Diptera_Mycetophilidae_Mycomya_NA_BOLD_ACC0280_size.35","Insecta","Diptera","Mycetophilidae","Mycomya","NA"
"R10178.4__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACC2335_size.24","Insecta","Diptera","Cecidomyiidae","NA","NA"
"R9414.6__Insecta_Diptera_NA_NA_NA_BOLD_ACM5761_size.348","Insecta","Diptera","NA","NA","NA"
"R4314.8__Insecta_Diptera_Chironomidae_NA_NA_BOLD_ACB9301_size.860","Insecta","Diptera","Chironomidae","NA","NA"
"R10690.6__Insecta_Hymenoptera_Formicidae_Camponotus_herculeanus_BOLD_AAA2372_size.20","Insecta","Hymenoptera","Formicidae","Camponotus","NA"
"R5800.32__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACT5330_size.34","Insecta","Diptera","Cecidomyiidae","NA","NA"
"R10017.3__Insecta_Hemiptera_Aphididae_Cinara_pseudotaxifoliae_BOLD_ABU8198_size.101","Insecta","Hemiptera","Aphididae","Cinara","NA"
"R6191__Insecta_Diptera_Muscidae_Phaonia_NA_BOLD_ACI3443_size.232652","Insecta","Diptera","Muscidae","Phaonia","NA"
"R5527__Insecta_Diptera_Tabanidae_Hybomitra_NA_BOLD_AAB1544_size.20881","Insecta","Diptera","Tabanidae","Hybomitra","NA"
"R6090__Insecta_Hymenoptera_Vespidae_Vespula_alascensis_BOLD_AAE3820_size.53814","Insecta","Hymenoptera","Vespidae","Vespula","NA"
"R7311.2__Insecta_Coleoptera_Cerambycidae_Xestoleptura_crassipes_BOLD_AAD0073_size.5097","Insecta","Coleoptera","Cerambycidae","Xestoleptura","NA"
"R705.4__Insecta_Lepidoptera_Geometridae_Neoalcis_californiaria_BOLD_ABZ2954_size.36286","Insecta","Lepidoptera","Geometridae","Neoalcis","NA"
"R4122.6__Insecta_Orthoptera_Rhaphidophoridae_Pristoceuthophilus_cercalis_BOLD_AAG2718_size.7140","Insecta","Orthoptera","Rhaphidophoridae","Pristoceuthophilus","NA"
"R1313.6__Insecta_Coleoptera_Elateridae_Hypoganus_NA_BOLD_ACU7917_size.4217","Insecta","Coleoptera","Elateridae","Hypoganus","NA"
"R2934.4__Arachnida_Opiliones_Phalangiidae_Leptobunus_NA_BOLD_ACI7739_size.4161","Arachnida","Opiliones","Phalangiidae","Leptobunus","NA"
"R6287.12__Insecta_Plecoptera_Nemouridae_Malenka_NA_BOLD_ACD4370_size.226","Insecta","Plecoptera","Nemouridae","Malenka","NA"
"R6207.5__Insecta_Diptera_Limoniidae_Dicranoptycha_NA_BOLD_ACA5402_size.106","Insecta","Diptera","Limoniidae","Dicranoptycha","NA"
"R1622.3__Insecta_Hemiptera_Reduviidae_Zelus_NA_BOLD_AAG3816_size.655","Insecta","Hemiptera","Reduviidae","Zelus","NA"
"R9141.5__Insecta_Diptera_Anthomyiidae_NA_NA_BOLD_ACC2962_size.1166","Insecta","Diptera","Anthomyiidae","NA","NA"
"R6138.4__Insecta_Lepidoptera_Geometridae_Macaria_NA_BOLD_AAA1255_size.216","Insecta","Lepidoptera","Geometridae","Macaria","NA"
"R6423.24__Insecta_Diptera_Empididae_Rhamphomyia_NA_BOLD_ACA1451_size.781","Insecta","Diptera","Empididae","Rhamphomyia","NA"
"R3650.24__Insecta_Lepidoptera_Nepticulidae_Stigmella_NA_BOLD_ACB2708_size.2","Insecta","Lepidoptera","Nepticulidae","Stigmella","NA"
"R8263.4__Insecta_Diptera_Keroplatidae_NA_NA_BOLD_ACD3023_size.651","Insecta","Diptera","Keroplatidae","NA","NA"
"R10548__Insecta_Diptera_Drosophilidae_Drosophila_NA_BOLD_AAB8851_size.22","Insecta","Diptera","Drosophilidae","Drosophila","NA"
"R5293__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACB1534_size.1410","Insecta","Hymenoptera","Ichneumonidae","NA","NA"
"R4278.32__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACE1717_size.37","Insecta","Hymenoptera","Ichneumonidae","NA","NA"
"R5909.2__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_ACU6891_size.195","Insecta","Diptera","Phoridae","Megaselia","NA"
"R7197.2__Insecta_Lepidoptera_Geometridae_Enypia_NA_BOLD_AAA6739_size.494","Insecta","Lepidoptera","Geometridae","Enypia","NA"
"R1922.11__Insecta_Psocodea_Caeciliusidae_Valenzuela_flavidus_BOLD_AAH3228_size.457","Insecta","Psocodea","Caeciliusidae","Valenzuela","NA"
"R2172.116__Insecta_Diptera_Sciaridae_NA_NA_BOLD_ACJ2056_size.5","Insecta","Diptera","Sciaridae","NA","NA"
"R4295.50__Insecta_Hymenoptera_Formicidae_Leptothorax_NA_BOLD_AAB1385_size.21","Insecta","Hymenoptera","Formicidae","Leptothorax","NA"
"R4040.82__Insecta_Hymenoptera_Crabronidae_Rhopalum_clavipes_BOLD_AAN8139_size.13","Insecta","Hymenoptera","Crabronidae","Rhopalum","NA"
"R6656.5__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_AAV5622_size.162","Insecta","Diptera","Cecidomyiidae","NA","NA"
"R1570.177__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_ACI7290_size.24","Insecta","Diptera","Phoridae","Megaselia","NA"
"R3519.3__Insecta_Lepidoptera_Geometridae_Campaea_perlata_BOLD_AAA2078_size.2404","Insecta","Lepidoptera","Geometridae","Campaea","NA"
"R603.67__Insecta_Diptera_Muscidae_Helina_NA_BOLD_ABY9119_size.200","Insecta","Diptera","Muscidae","Helina","NA"
"R3462.2__Insecta_Hymenoptera_Vespidae_Dolichovespula_norvegicoides_BOLD_AAB9565_size.30305","Insecta","Hymenoptera","Vespidae","Dolichovespula","NA"
"R2584.7__Insecta_Diptera_Sarcophagidae_Sarcophaga_NA_BOLD_AAP7706_size.1756","Insecta","Diptera","Sarcophagidae","Sarcophaga","NA"
"R2343.18__Insecta_Lepidoptera_Noctuidae_Diarsia_esurialis_BOLD_ABX6710_size.304","Insecta","Lepidoptera","Noctuidae","Diarsia","NA"
"R678.72__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_ACC9948_size.72","Insecta","Diptera","Phoridae","Megaselia","NA"
"R7405__Insecta_Diptera_Muscidae_Phaonia_NA_BOLD_ACE6851_size.3610","Insecta","Diptera","Muscidae","Phaonia","NA"
"R9076.4__Insecta_Diptera_Muscidae_Coenosia_NA_BOLD_ACB9516_size.228","Insecta","Diptera","Muscidae","Coenosia","NA"
"R7667.19__Insecta_Diptera_Ditomyiidae_NA_NA_BOLD_AAP8153_size.402","Insecta","Diptera","Ditomyiidae","NA","NA"
"R475__Insecta_Diptera_Tipulidae_NA_NA_BOLD_ACY1009_size.1047","Insecta","Diptera","Tipulidae","NA","NA"
"R9247__Insecta_Diptera_Anthomyiidae_Hylemyza_NA_BOLD_AAL8103_size.787","Insecta","Diptera","Anthomyiidae","Hylemyza","NA"
"R2339.2__Insecta_Diptera_Tabanidae_Chrysops_NA_BOLD_AAP7670_size.2174","Insecta","Diptera","Tabanidae","Chrysops","NA"
"R3201.2__Insecta_Diptera_Keroplatidae_NA_NA_BOLD_ACX2568_size.1537","Insecta","Diptera","Keroplatidae","NA","NA"
"R1519.2__Insecta_Diptera_NA_NA_NA_BOLD_ACX8657_size.2595","Insecta","Diptera","NA","NA","NA"
"R2146.71__Insecta_Diptera_Anthomyiidae_Hylemya_NA_BOLD_ADQ9158_size.136","Insecta","Diptera","Anthomyiidae","Hylemya","NA"
"R6058.2__Insecta_Diptera_Muscidae_Helina_NA_BOLD_ACE8833_size.6591","Insecta","Diptera","Muscidae","Helina","NA"
"R5808.20__Insecta_Neuroptera_Hemerobiidae_Hemerobius_stigma_BOLD_AAG0891_size.166","Insecta","Neuroptera","Hemerobiidae","Hemerobius","NA"
"R4366.88__Insecta_Hemiptera_Cicadellidae_Colladonus_NA_BOLD_ABX4169_size.175","Insecta","Hemiptera","Cicadellidae","Colladonus","NA"
"R2097.71__Arachnida_Opiliones_NA_NA_NA_BOLD_AAX2417_size.147","Arachnida","Opiliones","NA","NA","NA"
"R2460.5__Insecta_Diptera_Muscidae_Helina_evecta_BOLD_AAC2498_size.2189","Insecta","Diptera","Muscidae","Helina","NA"
"R4306.8__Insecta_Diptera_Keroplatidae_NA_NA_BOLD_ACV7181_size.65","Insecta","Diptera","Keroplatidae","NA","NA"
"R4335.16__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACB1611_size.74","Insecta","Hymenoptera","Ichneumonidae","NA","NA"
"R1633.3__Insecta_Diptera_Anthomyiidae_Lasiomma_NA_BOLD_AAG2515_size.34","Insecta","Diptera","Anthomyiidae","Lasiomma","NA"
"R2457.69__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACB9005_size.14","Insecta","Diptera","Cecidomyiidae","NA","NA"
"R5374__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACE5353_size.1485","Insecta","Hymenoptera","Ichneumonidae","NA","NA"
"R10790__Insecta_Diptera_Sciaridae_NA_NA_BOLD_ACC1657_size.68","Insecta","Diptera","Sciaridae","NA","NA"
"R10952__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACC1523_size.20","Insecta","Diptera","Cecidomyiidae","NA","NA"
"R5499__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_AAU8873_size.147","Insecta","Hymenoptera","Ichneumonidae","NA","NA"
"R3933.21__Insecta_Diptera_Muscidae_Phaonia_pallidosa_BOLD_ACC6781_size.181","Insecta","Diptera","Muscidae","Phaonia","NA"
"R5549.3__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACB8810_size.194","Insecta","Diptera","Cecidomyiidae","NA","NA"
"R4161.32__Insecta_Diptera_Hybotidae_NA_NA_BOLD_ACZ0135_size.36","Insecta","Diptera","Hybotidae","NA","NA"
"R6236.2__Insecta_Hymenoptera_Apidae_Bombus_flavifrons_BOLD_ACE3465_size.2066","Insecta","Hymenoptera","Apidae","Bombus","NA"
"R1745.172__Insecta_Hymenoptera_NA_NA_NA_BOLD_ABV0695_size.68","Insecta","Hymenoptera","NA","NA","NA"
"R3045.20__Insecta_Diptera_Piophilidae_Actenoptera_NA_BOLD_AAG0471_size.87","Insecta","Diptera","Piophilidae","Actenoptera","NA"
"R4347.32__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_ACD1105_size.6","Insecta","Diptera","Phoridae","Megaselia","NA"
"R6003__Insecta_Coleoptera_Coccinellidae_Mulsantina_NA_BOLD_AAM7729_size.120","Insecta","Coleoptera","Coccinellidae","Mulsantina","NA"
"R7564.11__Insecta_Psocodea_Philotarsidae_Philotarsus_californicus_BOLD_ACU2415_size.67","Insecta","Psocodea","Philotarsidae","Philotarsus","NA"
"R9914.5__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACI6458_size.84","Insecta","Diptera","Cecidomyiidae","NA","NA"
"R3357.122__Insecta_Coleoptera_Melyridae_Dasyrhadus_NA_BOLD_ACX2918_size.5","Insecta","Coleoptera","Melyridae","Dasyrhadus","NA"
"R4237.32__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACZ4244_size.61","Insecta","Diptera","Cecidomyiidae","NA","NA"
"R6736.9__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACX4695_size.39","Insecta","Diptera","Cecidomyiidae","NA","NA"
"R4382.7__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_ACM0844_size.82","Insecta","Diptera","Phoridae","Megaselia","NA"
"R5249.37__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACB9287_size.71","Insecta","Diptera","Cecidomyiidae","NA","NA"
"R8059.9__Insecta_Hymenoptera_Ichneumonidae_Orthocentrus_NA_BOLD_AAI3459_size.4","Insecta","Hymenoptera","Ichneumonidae","Orthocentrus","NA"
"R2742.88__Insecta_Hymenoptera_Diapriidae_NA_NA_BOLD_ACO5743_size.2","Insecta","Hymenoptera","Diapriidae","NA","NA"
"R6439.9__Insecta_Coleoptera_Curculionidae_NA_NA_BOLD_ACJ2713_size.500","Insecta","Coleoptera","Curculionidae","NA","NA"
"R2638.5__Insecta_Hemiptera_Cicadellidae_Osbornellus_NA_BOLD_ACX3634_size.929","Insecta","Hemiptera","Cicadellidae","Osbornellus","NA"
"R2811.3__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACT6661_size.158","Insecta","Diptera","Cecidomyiidae","NA","NA"
"R2197.71__Insecta_Diptera_Sciaridae_Bradysia_placida_BOLD_ACR4350_size.42","Insecta","Diptera","Sciaridae","Bradysia","NA"
"R2079.71__Insecta_Coleoptera_Latridiidae_Lathridius_nodifer_BOLD_AAO0516_size.22","Insecta","Coleoptera","Latridiidae","Lathridius","NA"
"R1979.2__Insecta_Lepidoptera_Geometridae_Nepytia_umbrosaria_BOLD_AAC8504_size.1207","Insecta","Lepidoptera","Geometridae","Nepytia","NA"
"R2585.64__Insecta_Psocodea_Psocidae_Loensia_NA_BOLD_ACC5693_size.613","Insecta","Psocodea","Psocidae","Loensia","NA"
"R6902.43__Insecta_Hemiptera_Miridae_Psallovius_piceicola_BOLD_AAZ1683_size.38","Insecta","Hemiptera","Miridae","Psallovius","NA"
"R7532.16__Insecta_Hymenoptera_Braconidae_Meteorus_NA_BOLD_ACG6325_size.77","Insecta","Hymenoptera","Braconidae","Meteorus","NA"
"R8486.22__Insecta_Diptera_Sciomyzidae_NA_NA_BOLD_AAP6462_size.369","Insecta","Diptera","Sciomyzidae","NA","NA"
"R4626.56__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_ACG7069_size.29","Insecta","Diptera","Phoridae","Megaselia","NA"
"R4105.33__Insecta_Hemiptera_Cicadellidae_Dikraneura_NA_BOLD_AAO8307_size.33","Insecta","Hemiptera","Cicadellidae","Dikraneura","NA"
"R9716.14__Insecta_Lepidoptera_Geometridae_Enypia_venata_BOLD_AAA2071_size.146","Insecta","Lepidoptera","Geometridae","Enypia","NA"
"R3891.34__Insecta_Diptera_Sciaridae_NA_NA_BOLD_ACI9213_size.71","Insecta","Diptera","Sciaridae","NA","NA"
"R9935.2__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_AAU5673_size.21","Insecta","Diptera","Phoridae","Megaselia","NA"
"R9942.2__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACI5947_size.12","Insecta","Diptera","Cecidomyiidae","NA","NA"
"R1.19__Insecta_Odonata_Coenagrionidae_Enallagma_NA_BOLD_AAA2218_size.4766","Insecta","Odonata","Coenagrionidae","Enallagma","NA"
"R7219.2__Insecta_Coleoptera_Elateridae_Athous_scissus_BOLD_ACX0632_size.2217","Insecta","Coleoptera","Elateridae","Athous","NA"
"R1306.3__Arachnida_Araneae_Anyphaenidae_Anyphaena_pacifica_BOLD_AAJ2526_size.3672","Arachnida","Araneae","Anyphaenidae","Anyphaena","NA"
"R5478.25__Insecta_Coleoptera_Cerambycidae_Pidonia_quadrata_BOLD_AAD4910_size.62","Insecta","Coleoptera","Cerambycidae","Pidonia","NA"
"R1866.95__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACY6323_size.48","Insecta","Hymenoptera","Ichneumonidae","NA","NA"
"R1362.96__Insecta_Diptera_Heleomyzidae_Suillia_sororcula_BOLD_AAP8074_size.12","Insecta","Diptera","Heleomyzidae","Suillia","NA"
