"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
883,0,0.8,0.75,0.5,1,0.1,"relu",0.8,0.1,0.862471371987303,-22.8612690438059,0.369801292947136,3.78838275594367,0.19436909589912,0.502027210069366,0,0.683550127991441,-3.72086089900732,-0.246247084674897,4.79707145839139,0.0789797636652177,0.261801329916083,33.3
884,0.8,0,0.25,0.25,1,0.4,"relu",0.7,0,0.717548703819138,-28.4594435681859,0.138630583769219,1.700274530309,0.0750991829145413,0.271229387532365,8.5,0.640006773863507,-3.59123315187483,-0.0740621406130661,1.42682036157273,0.0446585613896902,0.193220211930806,39.2
885,0.4,0.4,0.5,0.75,2,0.1,"relu",0.3,0.7,0.855281101311812,-23.3068577099417,0.352547608880593,3.54335393027638,0.186569795033818,0.485161399382356,0.1,0.680930995329194,-3.71759825209677,-0.221132518011722,2.87746395418996,0.0825008877099491,0.257003207712621,34
886,0,0,0.5,0.25,1,0.1,"relu",1,0.1,0.871410657988389,-22.3154015329376,0.390000171973611,4.06686994847141,0.21097774000444,0.523046437892338,0,0.669756518250165,-3.89050023284527,-0.457704541858335,2.73342557984154,0.0802666220535748,0.241654492987493,35
887,0.8,0.2,0.75,0,2,0.1,"relu",0,0.8,0.801366177254895,-25.8152653093112,0.253603155597471,2.42300573262777,0.12791937773404,0.38873278079648,1.3,0.63572620883448,-3.72265656783521,-0.169936733329592,1.76587654497525,0.0586615278638799,0.194370520171108,40.8
888,0.8,0,0.5,0.25,2,0.4,"relu",0.1,0.6,0.683401046650532,-29.2821264155708,0.103964892705633,1.47051652059506,0.0564677207382571,0.223508719611299,15,0.623952251862446,-3.58498466711233,-0.0405121365287044,1.36427379490231,0.0367150345432976,0.173230488892744,45.3
889,0.4,0.8,0.75,1,2,0.1,"relu",0.8,0.2,0.857657832158302,-23.2816487143607,0.352923337977669,3.50084176088721,0.1853031762857,0.491702642597906,0,0.681558375801247,-3.6449527610016,-0.193271785060082,51.7980973691166,0.0835945456168082,0.261371172636914,33.7
890,0.6,0.6,0.25,0,2,0.2,"relu",0,0.1,0.761495951922248,-27.4297873835691,0.187366300631136,1.83643201859583,0.0971022927653206,0.325469316440673,1.8,0.626858783751607,-3.58564521152964,-0.0419688027654377,1.46221432605682,0.0474152099169011,0.176049393328966,44.5
891,0.6,0.4,0,0,1,0.3,"relu",0.8,0.4,0.814972302993779,-25.1460161860088,0.277840753892836,2.71822795771999,0.153802817057365,0.419680327087047,1,0.640263557935178,-3.79997497137077,-0.208556687295334,1.85740723574952,0.0644690653166607,0.200861679456577,41.7
892,1,1,0.25,0.75,1,0.4,"relu",0.1,0.7,0.733388567185316,-28.037013765083,0.155676189660491,1.71704411070083,0.0819292245842979,0.297364507804842,5.6,0.632702203803931,-3.56701282914608,-0.0489008797572364,1.46784338817942,0.0465771794028272,0.18492470372936,42.7
