"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","auc_explain","auc_test"
124,0,0.8,0.25,0.5,1,0.3,"relu",0,0,0.824413053010018,0.628726122202192
125,0,1,0.5,0.75,2,0.3,"relu",0.2,0.7,0.846397329569942,0.664657073564234
126,0.1,0.8,0.5,0.5,2,0.3,"relu",0.5,0.8,0.81937527880064,0.663565966144745
127,0.1,0.7,1,0.25,2,0.5,"relu",0.1,0.3,0.699362605994129,0.610660313065421
128,0.2,0.8,0.25,0.25,1,0.3,"relu",0.7,0.5,0.851374254193681,0.666338273100263
129,0.2,0.8,0.5,0,1,0.5,"relu",0.2,0.4,0.743543473616883,0.623345833057262
130,0.2,0.8,0.75,0.75,2,0.1,"relu",0.7,0.5,0.89192642581212,0.656269186548932
131,0,0.9,0.75,0,2,0.3,"relu",1,0.6,0.844791075569833,0.667654775364094
132,0.2,1,0.75,0,1,0.5,"relu",0.4,0.8,0.740564725626968,0.625960139776646
133,0,0.9,0.25,0.5,2,0.1,"relu",0.3,0,0.893297941520768,0.653318374452999
134,0.2,1,1,1,1,0.3,"relu",0,0.9,0.813216630762018,0.639467953677163
135,0.3,0.8,0.25,0.25,1,0.3,"relu",0.1,0.9,0.852281395171524,0.661082770275044
136,0.2,0.9,0.5,0.25,1,0.3,"relu",0.1,0.1,0.854896342626571,0.669815805935963
137,0.3,0.9,0,0.75,1,0.3,"relu",0.1,0.8,0.86688998109732,0.646673323921348
138,0.3,0.9,1,0.5,1,0.3,"relu",0.2,0,0.852804429888647,0.662548174918286
139,0.2,0.9,1,0.25,2,0.5,"relu",0.2,0.6,0.6879530494424,0.606208831281277
140,0,1,0.75,0.5,1,0.3,"relu",0.8,0.5,0.87165061987814,0.664160797179216
141,0.2,0.8,0.25,0.25,1,0.5,"relu",0.6,0.3,0.753121325362102,0.632634039893778
142,0.3,0.7,0,0.75,2,0.1,"relu",0.3,0.1,0.916363483678502,0.653604108663535
143,0.2,0.8,0.25,1,1,0.3,"relu",0.6,0,0.871621387887676,0.665913224029332
144,0.2,0.9,1,0.5,1,0.5,"relu",0.4,0.6,0.739225330552472,0.622936532570852
145,0.3,0.8,0.5,0.25,2,0.3,"relu",1,0.8,0.823590777439083,0.656360370627909
146,0.3,1,0.25,1,2,0.1,"relu",0.4,0.6,0.914119788594761,0.663778149902462
147,0.1,0.7,0.5,0.5,2,0.5,"relu",0,0.6,0.690399492616988,0.597472895823534
148,0,0.7,0.75,0,1,0.5,"relu",0.3,0.8,0.817274950020655,0.656681064428535
149,0.2,0.8,0.25,0.5,2,0.3,"relu",1,0.9,0.822228726371081,0.665147441761186
150,0.1,0.9,0.5,0,2,0.3,"relu",0.8,0.1,0.815268404211596,0.660494264153406
151,0.3,0.7,0,1,1,0.1,"relu",0.4,0.2,0.928481092072598,0.649299024106653
152,0,0.7,0,0,2,0.1,"relu",0.1,0.4,0.926480155536074,0.650827909681588
153,0.3,0.8,0.5,0.25,1,0.1,"relu",0,0.4,0.859492769032002,0.647078112861085
154,0.2,0.7,0.5,1,2,0.1,"relu",1,0,0.907647920322112,0.667343177424467
155,0,1,0.25,0.25,1,0.3,"relu",1,1,0.870676738230275,0.664035260533103
156,0.3,1,1,1,1,0.5,"relu",1,0.7,0.765166011600857,0.633002217320874
157,0,0.7,0.25,1,2,0.1,"relu",0.4,0.4,0.913634094092944,0.659536670572034
158,0,0.9,0.75,0.5,1,0.5,"relu",0.3,0.6,0.802387898965239,0.655390829037191
159,0.1,0.7,0,0,1,0.1,"relu",0.6,0.5,0.89532739299353,0.64428212249728
160,0.3,0.8,0.5,0.75,2,0.5,"relu",0,0.9,0.696717881830597,0.594016675709233
161,0.3,0.8,0,0.5,2,0.1,"relu",0.5,0.4,0.918079215737151,0.65108800561451
162,0,0.7,0.25,0.5,2,0.5,"relu",0,0.4,0.710683784747711,0.604212664877134
163,0.1,0.7,1,0.75,1,0.3,"relu",1,0,0.846778147200119,0.662932809091149
