"lambda.env","alpha.env","lambda.sp","alpha.sp","lambda.bio","alpha.bio","drop","hidden","loglike","loss","AUC.explain","AUC.test"
0.155,0.8,0.3,0.6,0,1,0.3,"1",4855.5615234375,66.037,0.767706426276885,0.624516692517012
0.155,0.8,0.3,0.6,1,0.3,0.4,"1",5574.455078125,148.435,0.747462366612718,0.600865670159148
0.155,0.9,0.01,0.4,0.8,0.2,0.2,"1",5113.029296875,82.072,0.823852197151849,0.63573351252486
0.155,0.9,0.01,0.4,0.9,0.7,0.3,"1",4918.5341796875,82.256,0.817875111928749,0.654193966456328
0.155,0.9,0.01,0.4,0.6,0.5,0.4,"1",5543.634765625,85.929,0.777965893130124,0.611526673000991
0.155,0.9,0.01,0.5,0.8,0,0.2,"1",4428.0634765625,74.985,0.877916131920702,0.640204957415102
0.155,0.9,0.01,0.5,0.6,0.4,0.3,"1",5029.86669921875,83.387,0.827445598772299,0.620082655377839
0.155,0.9,0.01,0.5,0.3,0.6,0.4,"1",5397.80224609375,88.609,0.782188797861591,0.619004567667185
0.155,0.9,0.01,0.6,0.8,0.2,0.2,"1",4521.224609375,74.849,0.87313876158551,0.655549051568873
0.155,0.9,0.01,0.6,0.1,0.9,0.3,"1",4503.24072265625,80.457,0.827381506775196,0.623703118717505
0.155,0.9,0.01,0.6,0.2,0.7,0.4,"1",5410.33544921875,88.949,0.786014615832375,0.610378922626898
0.155,0.9,0.155,0.4,0.4,0.5,0.2,"1",4570.7509765625,78.402,0.870485871718943,0.63339781083627
0.155,0.9,0.155,0.4,0.8,0.6,0.3,"1",5183.29052734375,90.479,0.803547847703392,0.641955500295228
0.155,0.9,0.155,0.4,0.2,0.8,0.4,"1",5725.83056640625,92.777,0.738585964800922,0.630858544340002
0.155,0.9,0.155,0.5,0,0,0.2,"1",4367.25634765625,64.306,0.800281909642487,0.607123990100866
0.155,0.9,0.155,0.5,0.9,0.9,0.3,"1",5315.2421875,88.112,0.795737045227181,0.655868042199031
0.155,0.9,0.155,0.5,0.2,0.9,0.4,"1",5326.560546875,90.32,0.759111569763355,0.619511678231307
0.155,0.9,0.155,0.6,0.4,0.1,0.2,"1",4819.03173828125,85.796,0.843487228315521,0.631100252394743
0.155,0.9,0.155,0.6,0.1,0.7,0.3,"1",5059.380859375,88.397,0.804374550911998,0.602129891673796
0.155,0.9,0.155,0.6,0.9,0.9,0.4,"1",5604.21435546875,90.8,0.735161216598093,0.614913978107712
0.155,0.9,0.3,0.4,1,0.6,0.2,"1",4816.09326171875,82.607,0.848698360262225,0.649271269593893
0.155,0.9,0.3,0.4,0,0,0.3,"1",4642.96533203125,65.591,0.753227209470505,0.570216230676589
0.155,0.9,0.3,0.4,0.1,0.1,0.4,"1",5833.67724609375,96.559,0.707572083827804,0.621374635180581
0.155,0.9,0.3,0.5,0.1,0.2,0.2,"1",5117.1796875,83.582,0.809488674209063,0.647720069459999
0.155,0.9,0.3,0.5,0.3,1,0.3,"1",4920.56982421875,82.256,0.781523651929515,0.632466950951073
0.155,0.9,0.3,0.5,0.1,0.1,0.4,"1",5634.392578125,101.322,0.747248959843054,0.619838661878837
0.155,0.9,0.3,0.6,0,0.8,0.2,"1",4046.60400390625,61.66,0.828365715442321,0.597735522032197
0.155,0.9,0.3,0.6,0.4,0.6,0.3,"1",5526.650390625,91.762,0.760684671745371,0.629496258848348
0.155,0.9,0.3,0.6,0,0.9,0.4,"1",5039.3125,69.409,0.708945643633534,0.601255311244122
0.155,1,0.01,0.4,0.1,0.6,0.2,"1",4609.68896484375,78.198,0.854716490981037,0.634426825641127
0.155,1,0.01,0.4,0.9,1,0.3,"1",4703.8671875,83.485,0.835707103467277,0.626176295947982
0.155,1,0.01,0.4,0.3,0.1,0.4,"1",5448.84375,91.145,0.782447770179814,0.591927112486043
0.155,1,0.01,0.5,0.2,0.7,0.2,"1",4709.41650390625,75.835,0.857050513902223,0.644442240312338
0.155,1,0.01,0.5,0.9,0.9,0.3,"1",5043.7666015625,84.06,0.809607777893498,0.608768538619349
0.155,1,0.01,0.5,0,1,0.4,"1",4762.85498046875,65.217,0.764027342404838,0.651063363813257
0.155,1,0.01,0.6,0.1,0.1,0.2,"1",4358.16943359375,78.258,0.879553294346102,0.644304366893881
0.155,1,0.01,0.6,0.8,0.8,0.3,"1",4988.6015625,81.754,0.835517044540658,0.614688114488839
0.155,1,0.01,0.6,0.2,0.4,0.4,"1",5300.849609375,87.909,0.792104808322838,0.596747774521112
0.155,1,0.155,0.4,0.8,0.7,0.2,"1",4598.95166015625,79.364,0.867204990874656,0.625244732326734
0.155,1,0.155,0.4,0.5,0.6,0.3,"1",5113.7412109375,88.477,0.793039201794554,0.659677884435983
0.155,1,0.155,0.4,0.6,0.3,0.4,"1",5690.240234375,96.844,0.746129660689825,0.571513139362138
0.155,1,0.155,0.5,0.4,0.5,0.2,"1",4856.96875,80.233,0.828396481322619,0.631811954661486
0.155,1,0.155,0.5,0.4,1,0.3,"1",5037.1337890625,89.372,0.772010691711193,0.640775818069083
0.155,1,0.155,0.5,0.5,0.2,0.4,"1",5565.6728515625,93.881,0.742634614148062,0.608858658549622
0.155,1,0.155,0.6,0,0.2,0.2,"1",4260.03466796875,59.885,0.819239862973408,0.629463074233162
0.155,1,0.155,0.6,0.1,0.1,0.3,"1",5197.97705078125,88.045,0.797903584323098,0.636880263012776
0.155,1,0.155,0.6,0.9,0.8,0.4,"1",5580.63037109375,91.119,0.748125204798199,0.587259501790086
0.155,1,0.3,0.4,0.6,0.1,0.2,"1",4905.44384765625,82.375,0.824074046865707,0.641506450542842
0.155,1,0.3,0.4,0.2,0.2,0.3,"1",5491.7431640625,88.052,0.777638325090898,0.648902514929263
0.155,1,0.3,0.4,0.2,0,0.4,"1",5680.97607421875,94.244,0.728955094858145,0.604093892751182
0.155,1,0.3,0.5,0.7,0.2,0.2,"1",5117.06591796875,84.209,0.806073137957342,0.597838222714342
0.155,1,0.3,0.5,0.5,0.6,0.3,"1",5186.94287109375,87.55,0.79319756768124,0.644413946876117
0.155,1,0.3,0.5,0.3,0.3,0.4,"1",5610.1640625,130.439,0.734256941499343,0.666048754515826
0.155,1,0.3,0.6,0.5,0.1,0.2,"1",4650.638671875,80.149,0.854219497113178,0.650805186079589
0.155,1,0.3,0.6,0,0.4,0.3,"1",4593.515625,68.137,0.773348642660205,0.629215966120804
0.155,1,0.3,0.6,0.6,0.5,0.4,"1",5717.2275390625,93.687,0.730557479513473,0.600131720959726
0.3,0.8,0.01,0.4,0.2,0,0.2,"1",4342.50439453125,77.882,0.877717186425329,0.638423314060036
0.3,0.8,0.01,0.4,0.9,0,0.3,"1",5000.4453125,86.395,0.835172325516934,0.615622831698865
0.3,0.8,0.01,0.4,1,0.6,0.4,"1",5487.16064453125,178.964,0.789123107513737,0.626286632362932
0.3,0.8,0.01,0.5,0.4,0,0.2,"1",4596.056640625,77.763,0.867238731082788,0.652677145070048
0.3,0.8,0.01,0.5,0.7,0.9,0.3,"1",4855.77294921875,83.531,0.839369660265472,0.644126959819095
0.3,0.8,0.01,0.5,0.1,0.1,0.4,"1",5295.42626953125,88.376,0.78599319036768,0.633638643097296
0.3,0.8,0.01,0.6,0.5,0.7,0.2,"1",4640.97705078125,78.512,0.85955308631962,0.646048493595382
0.3,0.8,0.01,0.6,0.7,0.5,0.3,"1",4923.72607421875,118.723,0.832024476246338,0.644181965909907
0.3,0.8,0.01,0.6,0,0.6,0.4,"1",4632.12060546875,64.893,0.784020681272624,0.599401372048431
0.3,0.8,0.155,0.4,0.8,0.1,0.2,"1",4951.84326171875,81.152,0.834505779817125,0.657836994436526
0.3,0.8,0.155,0.4,0.1,0.2,0.3,"1",5127.443359375,85.533,0.801609184704439,0.616873758148801
0.3,0.8,0.155,0.4,0.7,1,0.4,"1",5445.109375,93.828,0.728031430431106,0.579483404923516
0.3,0.8,0.155,0.5,0.3,0.1,0.2,"1",4692.0947265625,79.557,0.850599170391855,0.634662541259142
0.3,0.8,0.155,0.5,0.4,0.3,0.3,"1",5097.138671875,117.906,0.816593047854185,0.639468934060793
0.3,0.8,0.155,0.5,0.3,0.3,0.4,"1",5669.44189453125,94.4,0.741469851432226,0.617796246095479
0.3,0.8,0.155,0.6,0.3,0.5,0.2,"1",5009.56689453125,84.906,0.817675677834169,0.636958229323958
0.3,0.8,0.155,0.6,0.8,0.7,0.3,"1",5461.61328125,91.66,0.761522273191445,0.607479356254399
0.3,0.8,0.155,0.6,0.6,0.5,0.4,"1",5575.40234375,95.07,0.749762449887817,0.634278296791617
0.3,0.8,0.3,0.4,0.6,0.4,0.2,"1",4689.02392578125,79.232,0.855282139856063,0.634885798059018
0.3,0.8,0.3,0.4,1,0.7,0.3,"1",5222.328125,88.644,0.785707526065255,0.652319641862747
0.3,0.8,0.3,0.4,0.7,0.4,0.4,"1",5642.87890625,92.358,0.735506547950364,0.616997083187407
0.3,0.8,0.3,0.5,0.7,0.2,0.2,"1",4862.73779296875,79.775,0.830087922189346,0.648219924434758
0.3,0.8,0.3,0.5,0.8,0.4,0.3,"1",5231.78515625,200.057,0.790845437259093,0.630507909412428
0.3,0.8,0.3,0.5,0.4,0.2,0.4,"1",5945.81689453125,95.626,0.707132588525843,0.590667404214932
0.3,0.8,0.3,0.6,0.1,0.7,0.2,"1",5134.4404296875,82.795,0.818099991102864,0.62817591334615
0.3,0.8,0.3,0.6,1,0.5,0.3,"1",5214.42822265625,90.942,0.785822837083046,0.649288888032494
0.3,0.8,0.3,0.6,0.6,0.5,0.4,"1",5778.2802734375,95.486,0.717538228384433,0.587315482542465
0.3,0.9,0.01,0.4,0.8,1,0.2,"1",4626.314453125,79.093,0.831684966700666,0.653966233771754
0.3,0.9,0.01,0.4,0.3,0.2,0.3,"1",4869.56005859375,85.488,0.819545863017532,0.627261244742596
0.3,0.9,0.01,0.4,0.2,0.7,0.4,"1",5388.82177734375,93.633,0.790003803152268,0.642647342060705
0.3,0.9,0.01,0.5,1,0.6,0.2,"1",4554.98193359375,74.836,0.872498771949219,0.635039480249945
0.3,0.9,0.01,0.5,0.8,0.2,0.3,"1",5030.00244140625,89.581,0.818074008583135,0.640543594083129
0.3,0.9,0.01,0.5,0.2,0.5,0.4,"1",5417.1318359375,88.878,0.779031119373241,0.625603372405909
0.3,0.9,0.01,0.6,0.6,0.6,0.2,"1",4265.888671875,74.096,0.888013906536167,0.63985715841774
0.3,0.9,0.01,0.6,1,0.2,0.3,"1",5063.4248046875,85.04,0.824689989812989,0.62896063209469
0.3,0.9,0.01,0.6,0,1,0.4,"1",4778.8876953125,64.337,0.773920951056723,0.605215850878148
0.3,0.9,0.155,0.4,0.4,0.2,0.2,"1",4965.001953125,83.122,0.823195185408141,0.630296527282354
0.3,0.9,0.155,0.4,0.8,0.6,0.3,"1",5301.62890625,88.48,0.797480185066765,0.636119763497215
0.3,0.9,0.155,0.4,0.9,0,0.4,"1",5629.48388671875,95.262,0.739168148954459,0.650419353959955
0.3,0.9,0.155,0.5,0.4,0.5,0.2,"1",4694.9970703125,115.252,0.851681686175424,0.646121844867582
0.3,0.9,0.155,0.5,0.3,0.4,0.3,"1",5048.2919921875,83.8,0.816914104687394,0.639854963383842
0.3,0.9,0.155,0.5,0.9,1,0.4,"1",5269.85302734375,91.269,0.719421478380427,0.596142587283892
0.3,0.9,0.155,0.6,0,0,0.2,"1",4573.05615234375,63.51,0.782543840655307,0.636769606435527
0.3,0.9,0.155,0.6,0.9,0.2,0.3,"1",5285.576171875,93.948,0.772838830011078,0.654790195576108
0.3,0.9,0.155,0.6,0.5,0.9,0.4,"1",5787.61181640625,98.858,0.706787585386384,0.601068856232965
0.3,0.9,0.3,0.4,1,0.8,0.2,"1",4976.21533203125,82.125,0.824556301096982,0.618654203339838
0.3,0.9,0.3,0.4,0.6,0.3,0.3,"1",5224.9931640625,86.074,0.796999951527718,0.646193443014628
0.3,0.9,0.3,0.4,0.8,0.6,0.4,"1",5591.669921875,93.409,0.726657604921301,0.625310169882847
0.3,0.9,0.3,0.5,0.2,0,0.2,"1",4920.876953125,80.155,0.832066352496064,0.636862338803409
0.3,0.9,0.3,0.5,0.9,0.7,0.3,"1",5252.0927734375,88.41,0.770687027670152,0.662717430023483
0.3,0.9,0.3,0.5,0.6,0.3,0.4,"1",5815.65234375,95.549,0.715383550221419,0.61836117605832
0.3,0.9,0.3,0.6,0.5,0.8,0.2,"1",4941.4970703125,81.556,0.818534255411937,0.644839308285333
0.3,0.9,0.3,0.6,0.8,0.8,0.3,"1",5515.53466796875,106.543,0.761790350851934,0.656222860587204
0.3,0.9,0.3,0.6,0.6,0.9,0.4,"1",5650.236328125,99.514,0.727811196301742,0.629433100644737
0.3,1,0.01,0.4,1,0.8,0.2,"1",4559.802734375,79.467,0.870870267772772,0.632065048970953
0.3,1,0.01,0.4,1,0.4,0.3,"1",5204.4677734375,84.458,0.811258392484684,0.631020344922199
0.3,1,0.01,0.4,0,0.3,0.4,"1",4654.07861328125,63.275,0.783061211449714,0.63872043216406
0.3,1,0.01,0.5,0.3,0,0.2,"1",4822.0625,79.321,0.844203369909968,0.62807333006342
0.3,1,0.01,0.5,0.5,0.1,0.3,"1",4823.494140625,80.66,0.835446271481771,0.629824985763818
0.3,1,0.01,0.5,0.6,0.4,0.4,"1",5364.48095703125,86.982,0.789040353914082,0.613642255588654
0.3,1,0.01,0.6,0.4,0.3,0.2,"1",4319.662109375,75.255,0.887006533501089,0.640370929648956
0.3,1,0.01,0.6,1,0.2,0.3,"1",4814.642578125,78.788,0.846583163417168,0.636656010111892
0.3,1,0.01,0.6,0.4,0,0.4,"1",5360.62109375,87.697,0.781856403449002,0.615706170073178
0.3,1,0.155,0.4,0,0.7,0.2,"1",4451.091796875,64.526,0.784202130429428,0.631566644840036
0.3,1,0.155,0.4,0,0.7,0.3,"1",4950.6015625,70.534,0.737978362993705,0.660180091884056
0.3,1,0.155,0.4,0.3,0.4,0.4,"1",5656.78955078125,98.845,0.734676280406624,0.612940092374236
0.3,1,0.155,0.5,0.5,0.8,0.2,"1",4867.45751953125,82.49,0.836017453416699,0.63430150587706
0.3,1,0.155,0.5,0.1,0.1,0.3,"1",5281.45703125,88.54,0.799751360009314,0.625645278003547
0.3,1,0.155,0.5,0.8,0.6,0.4,"1",5671.24462890625,106.069,0.732271760052119,0.623240020276998
0.3,1,0.155,0.6,0.1,0.2,0.2,"1",4604.177734375,79.288,0.869588980219227,0.656770410370155
0.3,1,0.155,0.6,0.2,0.4,0.3,"1",5095.88671875,88.994,0.80089946608002,0.630924916882398
0.3,1,0.155,0.6,0.2,0,0.4,"1",5802.1474609375,93.72,0.730077189306496,0.588466002300721
0.3,1,0.3,0.4,1,0.4,0.2,"1",4926.66455078125,83.951,0.824980822321893,0.688843948067893
0.3,1,0.3,0.4,0.7,0.1,0.3,"1",5054.408203125,122.989,0.809806840763722,0.630886994308776
0.3,1,0.3,0.4,0.8,0.6,0.4,"1",5723.1337890625,93.267,0.714775530458643,0.631743231469361
0.3,1,0.3,0.5,0.9,0.2,0.2,"1",4780.21630859375,87.212,0.837418354971146,0.676765728469693
0.3,1,0.3,0.5,0.1,0.6,0.3,"1",5258.357421875,87.459,0.7902430582656,0.638611663085502
