"lambda.env","alpha.env","lambda.sp","alpha.sp","lambda.bio","alpha.bio","drop","hidden","loglike","loss","AUC.explain","AUC.test"
0.01,1,0.155,0.6,0.8,0.2,0.4,"1",5233.82275390625,87.327,0.75188513555539,0.61944042692018
0.01,1,0.3,0.4,0.3,0.4,0.2,"1",4606.7685546875,78.236,0.836172520134484,0.66227383839756
0.01,1,0.3,0.4,0.8,0.7,0.3,"1",4960.14453125,82.194,0.801646151553248,0.659651171584249
0.01,1,0.3,0.4,0.3,1,0.4,"1",5128.884765625,84.783,0.710020664729875,0.57549265413236
0.01,1,0.3,0.5,0.1,0.6,0.2,"1",4474.07861328125,72.255,0.856529922646282,0.640594060158212
0.01,1,0.3,0.5,0.4,0.9,0.3,"1",4998.09033203125,78.539,0.796241914694278,0.621944612726795
0.01,1,0.3,0.5,1,0,0.4,"1",5264.5517578125,82.701,0.751305199196745,0.590720304095197
0.01,1,0.3,0.6,0.6,0.1,0.2,"1",4542.0244140625,74.821,0.837965024110691,0.65147413677305
0.01,1,0.3,0.6,0.3,0.7,0.3,"1",4894.16943359375,80.302,0.796144830461347,0.639850288334144
0.01,1,0.3,0.6,0.5,0.9,0.4,"1",5230.900390625,84.946,0.752472533964412,0.58297616500515
0.155,0.8,0.01,0.4,0.7,0.4,0.2,"1",4304.42041015625,71.085,0.869299526650118,0.655455551373337
0.155,0.8,0.01,0.4,0.2,0.3,0.3,"1",4891.73095703125,80.653,0.788838444253718,0.635590539733229
0.155,0.8,0.01,0.4,0,0.6,0.4,"1",4885.84716796875,68.132,0.736778892110441,0.593387327265737
0.155,0.8,0.01,0.5,0.3,0.9,0.2,"1",4422.8486328125,74.564,0.862020451964218,0.635005332003414
0.155,0.8,0.01,0.5,0.2,0.6,0.3,"1",4984.05615234375,82.1,0.792234757424191,0.640393723982279
0.155,0.8,0.01,0.5,0.2,0.8,0.4,"1",5202.1806640625,84.34,0.756069542477496,0.591219881185248
0.155,0.8,0.01,0.6,0.9,0.9,0.2,"1",4302.4912109375,72.019,0.870926352797537,0.664342618136576
0.155,0.8,0.01,0.6,1,0,0.3,"1",4736.74267578125,80.906,0.825766160278216,0.64465993056626
0.155,0.8,0.01,0.6,0.6,0.6,0.4,"1",5109.9775390625,84.522,0.767505439754407,0.620933873836687
0.155,0.8,0.155,0.4,0.7,0.9,0.2,"1",4601.2509765625,76.047,0.831424620307586,0.64787491010024
0.155,0.8,0.155,0.4,0.3,0.1,0.3,"1",4996.82177734375,81.249,0.779169178128255,0.608476175240881
0.155,0.8,0.155,0.4,0.8,0.9,0.4,"1",5392.4208984375,87.668,0.721768771637234,0.592575589608838
0.155,0.8,0.155,0.5,0.4,0.7,0.2,"1",4607.09423828125,78.348,0.826620938252363,0.654801765539724
0.155,0.8,0.155,0.5,0.8,0.7,0.3,"1",5069.09765625,81.036,0.776434574024496,0.61911252051917
0.155,0.8,0.155,0.5,0.7,0.2,0.4,"1",5338.693359375,88.973,0.709495555449581,0.614690324259271
0.155,0.8,0.155,0.6,0.4,0.6,0.2,"1",4666.61572265625,85.072,0.826941055045691,0.621289058026057
0.155,0.8,0.155,0.6,1,0,0.3,"1",4951.3671875,80.645,0.782931819855045,0.658279356729911
0.155,0.8,0.155,0.6,0.7,0.5,0.4,"1",5397.02197265625,88.137,0.714456688306354,0.615904257444112
0.155,0.8,0.3,0.4,0.6,0.4,0.2,"1",4757.2822265625,77.511,0.821605720031484,0.627195134914658
0.155,0.8,0.3,0.4,0.3,0.7,0.3,"1",5084.23486328125,85.536,0.765855198454624,0.609479099805187
0.155,0.8,0.3,0.4,0.4,0.6,0.4,"1",5470.3681640625,93.634,0.692542692679638,0.597333615714903
0.155,0.8,0.3,0.5,0,0,0.2,"1",4536.59619140625,64.831,0.764808164456205,0.606278630868358
0.155,0.8,0.3,0.5,0.9,0.7,0.3,"1",4999.07666015625,83.572,0.767334156909631,0.656210274896869
0.155,0.8,0.3,0.5,0.3,0.2,0.4,"1",5370.716796875,87.992,0.716897320695897,0.612348678996164
0.155,0.8,0.3,0.6,0.3,0.1,0.2,"1",4553.0341796875,73.158,0.846333196119422,0.640807042922346
0.155,0.8,0.3,0.6,0.6,1,0.3,"1",4725.41845703125,78.426,0.770255206127777,0.628030372740518
0.155,0.8,0.3,0.6,0.1,0.5,0.4,"1",5344.93408203125,89.432,0.709055759750065,0.627779756652838
0.155,0.9,0.01,0.4,0.2,0.2,0.2,"1",4378.5859375,72.66,0.860651064965154,0.622531986490586
0.155,0.9,0.01,0.4,0.4,0.8,0.3,"1",4786.00341796875,78.193,0.803026098069246,0.646588318654602
0.155,0.9,0.01,0.4,0,0.4,0.4,"1",4499.94482421875,66.053,0.763337758993803,0.610368318137926
0.155,0.9,0.01,0.5,0.4,0.2,0.2,"1",4836.70654296875,80.579,0.808710780902489,0.639132997224429
