Sample	r_processed	r_with_adapters	bp_processed	quality_trimmed	percent_trimmed	bp_written
248762-M1-S2_BDSW190603008-1a_1	28482381	10987652	4272357150	6109067	0.5374866892857962	4249393799
248762-M1-S2_BDSW190603008-1a_2	28482381	10976735	4272357150	6934999	0.5763455660536245	4247733609
248762-M2-S1_BDSW190603009-1a_1	29919543	11359402	4487931450	7807949	0.5852578474655623	4461665479
248762-M2-S1_BDSW190603009-1a_2	29919543	11333286	4487931450	8075122	0.6162484723335069	4460274641
248762-M2-S2_BDSW190603010-1a_1	26713963	10059619	4007094450	7599782	0.6286608742152309	3981903415
248762-M2-S2_BDSW190603010-1a_2	26713963	10049561	4007094450	9418264	0.7132453042128817	3978514037
252447-M1-S1_BDSW190603011-1a_1	32085534	12089995	4812830100	9458626	0.6239143368056977	4782802163
252447-M1-S1_BDSW190603011-1a_2	32085534	12089179	4812830100	11283240	0.6857703537051931	4779825138
252447-M1-S2_BDSW190603012-1a_1	31497172	11887562	4724575800	9351658	0.6103630086747682	4695738737
252447-M1-S2_BDSW190603012-1a_2	31497172	11868167	4724575800	10279499	0.6453669554841305	4694084949
252447-M2-S1-1_BDSW190603014-1a_1	30758299	11789009	4613744850	12305391	0.6781938103924408	4582454718
252447-M2-S1-1_BDSW190603014-1a_2	30758299	11738893	4613744850	12512369	0.7006824835577979	4581417148
252447-M2-S2_BDSW190603015-1a_1	29544883	11176424	4431732450	6592916	0.545719924947184	4407547603
252447-M2-S2_BDSW190603015-1a_2	29544883	11156993	4431732450	8217837	0.6005390284785806	4405118167
257002-M1-S1_BDSW190603016-1a_1	32524148	12376235	4878622200	16340759	0.8495977614335457	4837173535
257002-M1-S1_BDSW190603016-1a_2	32524148	12305690	4878622200	16935956	0.8919214322437183	4835108723
257002-M1-S2_BDSW190603017-1a_1	32704408	12303551	4905661200	6407242	0.5197356882289385	4880164728
257002-M1-S2_BDSW190603017-1a_2	32704408	12286876	4905661200	8245216	0.5721644413601168	4877592751
258173-M1-S1_BDSW190603018-1a_1	33971775	12869488	5095766250	15185826	0.7732426894581359	5056363610
258173-M1-S1_BDSW190603018-1a_2	33971775	12837897	5095766250	16407356	0.8194366647018003	5054009673
258173-M1-S2_BDSW190603019-1a_1	23824929	8936124	3573739350	10876171	0.7873975476135381	3545599814
258173-M1-S2_BDSW190603019-1a_2	23824929	8960608	3573739350	12324077	0.8618924880461694	3542937559
258355-M2-S1_BDSW190603020-1a_1	28906048	10992346	4335907200	9491885	0.6843326582266336	4306235171
258355-M2-S1_BDSW190603020-1a_2	28906048	10963544	4335907200	11209427	0.7503237846049842	4303373857
268355-M1-S1_BDSW190603021-1a_1	47067729	17852179	7060159350	10280138	0.557733445492275	7020782480
