"RowNumber","SiteName","UTM_E","UTM_N","o","y","point.ID","poly.ID","AGENCY","UNIT_NAME","TS_NAME","YEAR","YrsSinceDi","TREATMENT_","class","e","ht","mint","maxt","p","r.d","s.d","YrsSinceDist","hja"
"83","150732",562682,4901132,29,0,83,205,"USFS","WIL","BLUE TITAN",1984,34,"Clearcut",1,1864.81005859375,74.949951171875,3.11999988555908,15.1099996566772,2040.59997558594,8.26548317704477,2.04472066404437,200,0
"84","361840",557647,4896180,5,0,84,NA,NA,NA,NA,NA,NA,NA,NA,2793.34008789062,29.68994140625,4.15000009536743,15.0600004196167,2097.78002929688,5.90889091509053,617.070206148569,200,0
"85","357256",556932,4896401,22,0,85,NA,NA,NA,NA,NA,NA,NA,NA,2983.2099609375,93.10009765625,4.30999994277954,14.5,2111.8701171875,19.3324194649735,381.789980226404,200,0
"86","400605",556312,4894446,21,0,86,410,"USFS","WIL","SCOUT",1976,42,"Clearcut",2,2520.46997070312,38.18994140625,4.3899998664856,14.8199996948242,2040.31994628906,42.4630154058214,453.831434706896,200,0
"87","364070",556046,4895953,48,0,87,NA,NA,NA,NA,NA,NA,NA,NA,3062.61010742188,59.9599609375,4.17000007629395,14.2600002288818,2167.84008789062,22.7292714216301,533.967410192821,200,0
"88","367193",558513,4895962,16,0,88,NA,NA,NA,NA,NA,NA,NA,NA,1825.84997558594,84.06005859375,4.03000020980835,16.0900001525879,2098.17993164062,23.7135160886788,300.985726439895,200,0
"89","372502",557910,4895668,35,0,89,NA,NA,NA,NA,NA,NA,NA,NA,2077.8701171875,147.97998046875,4.15000009536743,15.0600004196167,2097.78002929688,21.461951646974,237.679291907679,200,0
"90","287338",559781,4899188,30,0,90,NA,NA,NA,NA,NA,NA,NA,NA,2803.83740234375,55.289306640625,3.45000004768372,14.2200002670288,2211.830078125,47.4500899171909,899.678848287188,200,0
"91","301004",559007,4898550,11,0,91,NA,NA,NA,NA,NA,NA,NA,NA,3088.4287109375,66.701171875,4.15000009536743,14.2399997711182,2123.35009765625,23.6506931980063,1101.16568331028,200,0
"92","280500",560528,4899462,6,2,92,1373,"USFS","WIL",NA,1964,54,"Clearcut",2,2113.87939453125,100.579345703125,3.91000008583069,14.9399995803833,2182.42993164062,21.3132739603575,570.90040027347,2,0
"93","268355",560966,4899982,37,0,93,516,"USFS","WIL",NA,1964,54,"Clearcut",2,2244.21459960938,52.91650390625,3.69000005722046,15.7399997711182,2056.59008789062,54.0110767623937,254.223497319838,200,0
"94","290415",560896,4899037,16,2,94,1373,"USFS","WIL",NA,1964,54,"Clearcut",2,1639.70520019531,65.587646484375,3.83999991416931,15.6700000762939,2039.78002929688,40.3499735688829,9.16123448198502,2,0
"105","593665",565933,4893400,31,0,95,NA,NA,NA,NA,NA,NA,NA,NA,2337.96997070312,163.380126953125,4.21000003814697,14.7700004577637,2220.8798828125,28.0373827127876,595.110049760446,200,0
"134","335225",558228,4897232,9,0,96,319,"USFS","WIL","COOK RIDGE #1",1972,46,"Clearcut",2,1537.91491699219,7.443603515625,3.63000011444092,15.3500003814697,2118.82006835938,4.66785341608541,57.9554460080392,200,0
