"RowNumber","SiteName","UTM_E","UTM_N","ogsi","y","point.ID","poly.ID","AGENCY","UNIT_NAME","TS_NAME","YEAR","YrsSinceDi_cuts","TREATMENT_","class","elevation","canopy_ht","avg_min_temp","avg_max_temp","avg_precip","distance_rd","distance_stream","YrsSinceDist","in_hja"
"51","642613",556854,4891361,6,0,49,NA,NA,NA,NA,NA,NA,NA,NA,1412.03002929688,84.199951171875,4.59999990463257,16.7900009155273,1891.48999023438,60.3033737890354,861.565678255214,200,0
"52","647830",559614,4891404,50,0,50,529,"USFS","WIL",NA,1945,73,"Clearcut",2,1554.18994140625,122.980102539062,3.84999990463257,15.7799997329712,1825.19995117188,169.666068759437,706.567097203828,200,0
"53","650846",557731,4891416,1,17,51,NA,NA,NA,NA,NA,NA,NA,NA,1447.16003417969,14.7799072265625,4.11999988555908,16.25,1892.40002441406,120.061410468412,750.330988010833,17,0
"54","652934",558839,4891375,51,0,52,NA,NA,NA,NA,NA,NA,NA,NA,1551.27001953125,109.329956054688,3.88000011444092,15.8699998855591,1841.58996582031,52.6682019109581,772.261463252919,200,0
"55","700226",565579,4892891,14,25,53,1029,"USFS","WIL","AMBUSH",1993,25,"Clearcut",1,1918.52001953125,19.669921875,3.73000001907349,15.7299995422363,1862.22998046875,1.90478618990081,310.248572126424,25,0
"56","700239",563886,4892964,27,25,54,1028,"USFS","WIL","AMBUSH",1993,25,"Clearcut",1,1683.81005859375,24.6199951171875,4.26000022888184,16.5900001525879,1839.18994140625,37.6981644533326,1172.7681701304,25,0
"57","HOBO-014",564348,4896055,23,0,55,NA,NA,NA,NA,NA,NA,NA,NA,3828.27001953125,169.199951171875,3.32999992370605,14.1300001144409,2426.57006835938,33.0454470106995,818.833290886736,200,1
"58","HOBO-016",564936,4897859,34,0,56,301,"USFS","WIL","BLUE RIVER #2",1959,59,"Clearcut",2,2086.98999023438,126.360107421875,3.45000004768372,15.1499996185303,2126.57006835938,64.1162452391145,161.369210506913,200,1
"59","HOBO-032",565553,4895764,11,0,57,369,"USFS","WIL",NA,1957,61,"Clearcut",2,3946.44995117188,63.429931640625,3.53999996185303,14.2399997711182,2494.46997070312,67.8823860226999,1108.53350852103,200,1
"60","HOBO-036",566130,4897238,7,0,58,315,"USFS","WIL",NA,1959,59,"Clearcut",2,2656.03002929688,98.85986328125,4.01999998092651,14.8900003433228,2237.55004882812,45.3065723766677,339.812206698044,200,1
