,fastq_files,sample,site,period,trap,UTM_E,UTM_N
146,268413-M1-S2_BDSW190603025-1a.pair2.truncated,268413-M1-S2,268413,2,1,562804,4900021
147,279822-M1-S1_BDSW190603026-1a.pair1.truncated,279822-M1-S1,279822,1,1,562363,4899611
148,279822-M1-S1_BDSW190603026-1a.pair2.truncated,279822-M1-S1,279822,1,1,562363,4899611
149,279822-M1-S2_BDSW190603027-1a.pair1.truncated,279822-M1-S2,279822,2,1,562363,4899611
150,279822-M1-S2_BDSW190603027-1a.pair2.truncated,279822-M1-S2,279822,2,1,562363,4899611
151,280500-M1-S1_BDSW190603028-1a.pair1.truncated,280500-M1-S1,280500,1,1,560528,4899462
152,280500-M1-S1_BDSW190603028-1a.pair2.truncated,280500-M1-S1,280500,1,1,560528,4899462
153,280500-M1-S2_BDSW190603029-1a.pair1.truncated,280500-M1-S2,280500,2,1,560528,4899462
154,280500-M1-S2_BDSW190603029-1a.pair2.truncated,280500-M1-S2,280500,2,1,560528,4899462
155,286789-M1-S1_BDSW190603030-1a.pair1.truncated,286789-M1-S1,286789,1,1,562481,4902252
156,286789-M1-S1_BDSW190603030-1a.pair2.truncated,286789-M1-S1,286789,1,1,562481,4902252
157,286789-M1-S2_BDSW190603031-1a.pair1.truncated,286789-M1-S2,286789,2,1,562481,4902252
158,286789-M1-S2_BDSW190603031-1a.pair2.truncated,286789-M1-S2,286789,2,1,562481,4902252
159,287338-M1-S1_BDSW190603032-1a.pair1.truncated,287338-M1-S1,287338,1,1,559781,4899188
160,287338-M1-S1_BDSW190603032-1a.pair2.truncated,287338-M1-S1,287338,1,1,559781,4899188
161,287338-M1-S2_BDSW190603033-1a.pair1.truncated,287338-M1-S2,287338,2,1,559781,4899188
162,287338-M1-S2_BDSW190603033-1a.pair2.truncated,287338-M1-S2,287338,2,1,559781,4899188
163,292528-M1-S1_BDSW190603034-1a.pair1.truncated,292528-M1-S1,292528,1,1,555665,4898922
164,292528-M1-S1_BDSW190603034-1a.pair2.truncated,292528-M1-S1,292528,1,1,555665,4898922
165,292528-M1-S2_BDSW190603035-1a.pair1.truncated,292528-M1-S2,292528,2,1,555665,4898922
166,292528-M1-S2_BDSW190603035-1a.pair2.truncated,292528-M1-S2,292528,2,1,555665,4898922
167,301004-M1-S1_BDSW190603036-1a.pair1.truncated,301004-M1-S1,301004,1,1,559007,4898550
168,301004-M1-S1_BDSW190603036-1a.pair2.truncated,301004-M1-S1,301004,1,1,559007,4898550
169,301004-M1-S2_BDSW190603037-1a.pair1.truncated,301004-M1-S2,301004,2,1,559007,4898550
170,301004-M1-S2_BDSW190603037-1a.pair2.truncated,301004-M1-S2,301004,2,1,559007,4898550
171,301004-M2-S1_BDSW190603038-1a.pair1.truncated,301004-M2-S1,301004,1,2,559007,4898550
172,301004-M2-S1_BDSW190603038-1a.pair2.truncated,301004-M2-S1,301004,1,2,559007,4898550
173,301004-M2-S2_BDSW190603039-1a.pair1.truncated,301004-M2-S2,301004,2,2,559007,4898550
174,301004-M2-S2_BDSW190603039-1a.pair2.truncated,301004-M2-S2,301004,2,2,559007,4898550
175,307043-M1-S1_BDSW190603040-1a.pair1.truncated,307043-M1-S1,307043,1,1,557449,4898230
176,307043-M1-S1_BDSW190603040-1a.pair2.truncated,307043-M1-S1,307043,1,1,557449,4898230
177,307043-M1-S2_BDSW190603041-1a.pair1.truncated,307043-M1-S2,307043,2,1,557449,4898230
178,307043-M1-S2_BDSW190603041-1a.pair2.truncated,307043-M1-S2,307043,2,1,557449,4898230
179,335225-M1-S2_BDSW190603042-1a.pair1.truncated,335225-M1-S2,335225,2,1,559380,4908110
180,335225-M1-S2_BDSW190603042-1a.pair2.truncated,335225-M1-S2,335225,2,1,559380,4908110
181,357256-M1-S1_BDSW190603043-1a.pair1.truncated,357256-M1-S1,357256,1,1,556932,4896401
182,357256-M1-S1_BDSW190603043-1a.pair2.truncated,357256-M1-S1,357256,1,1,556932,4896401
183,357256-M1-S2_BDSW190603044-1a.pair1.truncated,357256-M1-S2,357256,2,1,556932,4896401
184,357256-M1-S2_BDSW190603044-1a.pair2.truncated,357256-M1-S2,357256,2,1,556932,4896401
185,357256-M2-S1_BDSW190603045-1a.pair1.truncated,357256-M2-S1,357256,1,2,556932,4896401
186,357256-M2-S1_BDSW190603045-1a.pair2.truncated,357256-M2-S1,357256,1,2,556932,4896401
187,357256-M2-S2_BDSW190603046-1a.pair1.truncated,357256-M2-S2,357256,2,2,556932,4896401
188,357256-M2-S2_BDSW190603046-1a.pair2.truncated,357256-M2-S2,357256,2,2,556932,4896401
189,361840-M1-S1_BDSW190603047-1a.pair1.truncated,361840-M1-S1,361840,1,1,557647,4896180
190,361840-M1-S1_BDSW190603047-1a.pair2.truncated,361840-M1-S1,361840,1,1,557647,4896180
191,361840-M1-S2_BDSW190603048-1a.pair1.truncated,361840-M1-S2,361840,2,1,557647,4896180
192,361840-M1-S2_BDSW190603048-1a.pair2.truncated,361840-M1-S2,361840,2,1,557647,4896180
193,364070-M1-S1_BDSW190603049-2a.pair1.truncated,364070-M1-S1,364070,1,1,556046,4895953
194,364070-M1-S1_BDSW190603049-2a.pair2.truncated,364070-M1-S1,364070,1,1,556046,4895953
195,364070-M1-S2_BDSW190603050-1a.pair1.truncated,364070-M1-S2,364070,2,1,556046,4895953
196,364070-M1-S2_BDSW190603050-1a.pair2.truncated,364070-M1-S2,364070,2,1,556046,4895953
197,367193-M1-S1_BDSW190603051-1a.pair1.truncated,367193-M1-S1,367193,1,1,558513,4895962
198,367193-M1-S1_BDSW190603051-1a.pair2.truncated,367193-M1-S1,367193,1,1,558513,4895962
199,367193-M1-S2_BDSW190603052-1a.pair1.truncated,367193-M1-S2,367193,2,1,558513,4895962
200,367193-M1-S2_BDSW190603052-1a.pair2.truncated,367193-M1-S2,367193,2,1,558513,4895962
201,372502-M1-S1_BDSW190603053-1a.pair1.truncated,372502-M1-S1,372502,1,1,557910,4895668
202,372502-M1-S1_BDSW190603053-1a.pair2.truncated,372502-M1-S1,372502,1,1,557910,4895668
203,372502-M1-S2_BDSW190603054-1a.pair1.truncated,372502-M1-S2,372502,2,1,557910,4895668
204,372502-M1-S2_BDSW190603054-1a.pair2.truncated,372502-M1-S2,372502,2,1,557910,4895668
205,372502-M2-S1_BDSW190603055-1a.pair1.truncated,372502-M2-S1,372502,1,2,557910,4895668
206,372502-M2-S1_BDSW190603055-1a.pair2.truncated,372502-M2-S1,372502,1,2,557910,4895668
207,378882-M1-S1_BDSW190603056-1a.pair1.truncated,378882-M1-S1,378882,1,1,555122,4899228
208,378882-M1-S1_BDSW190603056-1a.pair2.truncated,378882-M1-S1,378882,1,1,555122,4899228
209,378882-M1-S2-1_BDSW190603058-1a.pair1.truncated,378882-M1-S2-1,378882,2,1,555122,4899228
210,378882-M1-S2-1_BDSW190603058-1a.pair2.truncated,378882-M1-S2-1,378882,2,1,555122,4899228
211,378882-M1-S2_BDSW190603057-1a.pair1.truncated,378882-M1-S2,378882,2,1,555122,4899228
212,378882-M1-S2_BDSW190603057-1a.pair2.truncated,378882-M1-S2,378882,2,1,555122,4899228
